Owner,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Corey,7,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3,5
Steven,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3
Monica,5,4,4,4,4,4,4,4,4,4,3,3,9,7,6,7,4
Fuzzy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9
Logan,3,3,3,3,3,3,3,3,3,3,5,4,4,4,4,4,6
Daniel,6,8,8,8,8,8,8,8,8,8,7,9,7,9,9,9,7
Brandon,10,9,9,9,9,9,9,9,9,9,9,8,8,8,7,5,2
Jimmy,2,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,1
Matt,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8
Nabil,8,6,6,6,6,6,6,6,6,6,6,7,5,5,8,8,10
